city,population,include,migration_2020,unemployment_rate,median_income,median_age,summer_comfort_index,winter_comfort_index,cost_of_living_index,mean_commute_time,mean_school_expense,student_per_teacher,violent_crime_index,property_crime_index,sales_tax_rate,income_tax_rate,health_cost_index,water_quality_index,air_quality_index,white_percent,black_percent,asian_percent,native_american_percent,pacific_islander_percent,other_percent,multiple_percent,hispanic_percent,population_density,median_house_price
East Cathlamet,521,1,0.156,0.074,52188,63.4,9,5,0.956,0,12030,18.3,9.1,27.5,0.076,0,0.793,0.6,0.9,0.93,0,0,0.07,0,0,0,0,332,133800
East Port Orchard,5087,1,-0.071,0.058,57960,33.8,9.3,5.4,1.045,30.3,9383,20.8,14,48.8,0.09,0,0.834,0.4,0.59,0.718,0.02,0.028,0.015,0.005,0,0.081,0.133,3644,318500
East Renton Highlands,12392,1,0.033,0.054,92556,46.1,9.1,5.2,1.426,32.5,12865,20.9,11.4,36.9,0.1,0,0.817,0.6,0.49,0.786,0.011,0.079,0.002,0,0,0.046,0.076,1090,711800
East Wenatchee,14113,1,0.061,0.059,52989,33.7,9.2,4.6,1.034,16.5,15966,19.7,10.9,45,0.082,0,0.81,0.6,0.71,0.637,0.003,0.008,0.005,0.002,0,0.038,0.307,3699,443200
Eastmont,23088,1,0.134,0.063,89931,38.7,9.2,5.3,1.377,29.7,12507,21.3,10.7,35,0.103,0,0.801,0.53,0.35,0.719,0.02,0.112,0.002,0.003,0.001,0.051,0.092,4652,565700
Easton,382,1,-0.252,0.071,51250,44.8,8.9,3.4,1.226,21.3,21511,10.3,10.2,31.9,0.08,0,0.803,0.6,0.94,0.975,0,0,0,0,0,0,0.025,140,515300
Eatonville,2863,1,0.099,0.068,61458,37.8,9,5.1,1.29,44.7,12757,18.8,11.2,29.7,0.079,0,0.8,0.6,0.89,0.858,0,0.011,0,0,0,0.058,0.073,1659,492900
Edgewood,12132,1,0.085,0.068,78328,43.5,9.2,5.5,1.357,30,10156,20.4,10.6,36.5,0.099,0,0.8,0.6,0.48,0.815,0.001,0.033,0.028,0,0,0.046,0.078,1596,651900
Edison,316,1,0.345,0.07,50481,71.2,9.1,5.5,1.316,25.4,10413,18.9,7.7,23,0.085,0,0.791,0.52,0.81,1,0,0,0,0,0,0,0,293,641000
Edmonds,42622,1,0.041,0.052,72926,46.6,9.3,5.5,1.536,32.7,10150,20.6,9.8,38,0.103,0,0.801,0.53,0.36,0.792,0.011,0.085,0.004,0.005,0.001,0.049,0.053,4774,803100
Electric City,954,1,-0.089,0.071,52396,55.5,9,4.5,0.829,18.9,25135,16.9,10.3,31.7,0.079,0,0.827,0.5,0.93,0.73,0,0.006,0.175,0,0,0.035,0.054,488,278600
